"","GO.ID","Term","Annotated","Significant","Expected","Fisher","fdr"
"207","GO:0006633","fatty acid biosynthetic process",46,0,0.01,"1.00000",1
"208","GO:0006635","fatty acid beta-oxidation",6,0,0,"1.00000",1
"209","GO:0006637","acyl-CoA metabolic process",3,0,0,"1.00000",1
"210","GO:0006643","membrane lipid metabolic process",27,0,0.01,"1.00000",1
"211","GO:0006644","phospholipid metabolic process",66,0,0.02,"1.00000",1
"212","GO:0006650","glycerophospholipid metabolic process",47,0,0.01,"1.00000",1
"213","GO:0006661","phosphatidylinositol biosynthetic proces...",29,0,0.01,"1.00000",1
"214","GO:0006662","glycerol ether metabolic process",31,0,0.01,"1.00000",1
"215","GO:0006664","glycolipid metabolic process",21,0,0.01,"1.00000",1
"216","GO:0006665","sphingolipid metabolic process",6,0,0,"1.00000",1
"217","GO:0006694","steroid biosynthetic process",25,0,0.01,"1.00000",1
"218","GO:0006720","isoprenoid metabolic process",27,0,0.01,"1.00000",1
"219","GO:0006721","terpenoid metabolic process",8,0,0,"1.00000",1
"220","GO:0006725","cellular aromatic compound metabolic pro...",1517,0,0.46,"1.00000",1
"221","GO:0006739","NADP metabolic process",10,0,0,"1.00000",1
"222","GO:0006740","NADPH regeneration",7,0,0,"1.00000",1
"223","GO:0006741","NADP biosynthetic process",3,0,0,"1.00000",1
"224","GO:0006749","glutathione metabolic process",3,0,0,"1.00000",1
"225","GO:0006753","nucleoside phosphate metabolic process",115,0,0.03,"1.00000",1
"226","GO:0006754","ATP biosynthetic process",22,0,0.01,"1.00000",1
"227","GO:0006757","ATP generation from ADP",40,0,0.01,"1.00000",1
"228","GO:0006760","folic acid-containing compound metabolic...",14,0,0,"1.00000",1
"229","GO:0006766","vitamin metabolic process",26,0,0.01,"1.00000",1
"230","GO:0006767","water-soluble vitamin metabolic process",26,0,0.01,"1.00000",1
"231","GO:0006771","riboflavin metabolic process",9,0,0,"1.00000",1
"232","GO:0006772","thiamine metabolic process",4,0,0,"1.00000",1
"233","GO:0006777","Mo-molybdopterin cofactor biosynthetic p...",3,0,0,"1.00000",1
"234","GO:0006778","porphyrin-containing compound metabolic ...",16,0,0,"1.00000",1
"235","GO:0006779","porphyrin-containing compound biosynthet...",10,0,0,"1.00000",1
"236","GO:0006783","heme biosynthetic process",3,0,0,"1.00000",1
"237","GO:0006787","porphyrin-containing compound catabolic ...",6,0,0,"1.00000",1
"238","GO:0006788","heme oxidation",4,0,0,"1.00000",1
"239","GO:0006790","sulfur compound metabolic process",47,0,0.01,"1.00000",1
"240","GO:0006793","phosphorus metabolic process",1128,0,0.34,"1.00000",1
"241","GO:0006796","phosphate-containing compound metabolic ...",1128,0,0.34,"1.00000",1
"242","GO:0006801","superoxide metabolic process",8,0,0,"1.00000",1
"243","GO:0006807","nitrogen compound metabolic process",3501,0,1.06,"1.00000",1
"244","GO:0006810","transport",926,0,0.28,"1.00000",1
"245","GO:0006811","ion transport",207,0,0.06,"1.00000",1
"246","GO:0006812","cation transport",139,0,0.04,"1.00000",1
"247","GO:0006813","potassium ion transport",15,0,0,"1.00000",1
"248","GO:0006814","sodium ion transport",3,0,0,"1.00000",1
"249","GO:0006820","anion transport",47,0,0.01,"1.00000",1
"250","GO:0006821","chloride transport",8,0,0,"1.00000",1
"251","GO:0006826","iron ion transport",9,0,0,"1.00000",1
"252","GO:0006835","dicarboxylic acid transport",11,0,0,"1.00000",1
"253","GO:0006839","mitochondrial transport",10,0,0,"1.00000",1
"254","GO:0006848","pyruvate transport",4,0,0,"1.00000",1
"255","GO:0006850","mitochondrial pyruvate transmembrane tra...",4,0,0,"1.00000",1
"256","GO:0006855","xenobiotic transmembrane transport",47,0,0.01,"1.00000",1
"257","GO:0006865","amino acid transport",26,0,0.01,"1.00000",1
"258","GO:0006869","lipid transport",18,0,0.01,"1.00000",1
"259","GO:0006873","cellular ion homeostasis",9,0,0,"1.00000",1
"260","GO:0006875","cellular metal ion homeostasis",5,0,0,"1.00000",1
"261","GO:0006879","cellular iron ion homeostasis",5,0,0,"1.00000",1
"262","GO:0006886","intracellular protein transport",135,0,0.04,"1.00000",1
"263","GO:0006887","exocytosis",30,0,0.01,"1.00000",1
"264","GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",18,0,0.01,"1.00000",1
"265","GO:0006891","intra-Golgi vesicle-mediated transport",3,0,0,"1.00000",1
"266","GO:0006904","vesicle docking involved in exocytosis",9,0,0,"1.00000",1
"267","GO:0006913","nucleocytoplasmic transport",13,0,0,"1.00000",1
"268","GO:0006914","autophagy",18,0,0.01,"1.00000",1
"269","GO:0006928","movement of cell or subcellular componen...",64,0,0.02,"1.00000",1
"270","GO:0006950","response to stress",288,0,0.09,"1.00000",1
"271","GO:0006952","defense response",29,0,0.01,"1.00000",1
"272","GO:0006974","cellular response to DNA damage stimulus",127,0,0.04,"1.00000",1
"273","GO:0006979","response to oxidative stress",68,0,0.02,"1.00000",1
"274","GO:0006996","organelle organization",202,0,0.06,"1.00000",1
"275","GO:0007005","mitochondrion organization",21,0,0.01,"1.00000",1
"276","GO:0007006","mitochondrial membrane organization",5,0,0,"1.00000",1
"277","GO:0007008","outer mitochondrial membrane organizatio...",4,0,0,"1.00000",1
"278","GO:0007010","cytoskeleton organization",76,0,0.02,"1.00000",1
"279","GO:0007015","actin filament organization",25,0,0.01,"1.00000",1
"280","GO:0007017","microtubule-based process",119,0,0.04,"1.00000",1
"281","GO:0007018","microtubule-based movement",64,0,0.02,"1.00000",1
"282","GO:0007020","microtubule nucleation",3,0,0,"1.00000",1
"283","GO:0007031","peroxisome organization",11,0,0,"1.00000",1
"284","GO:0007033","vacuole organization",16,0,0,"1.00000",1
"285","GO:0007034","vacuolar transport",14,0,0,"1.00000",1
"286","GO:0007049","cell cycle",80,0,0.02,"1.00000",1
"287","GO:0007051","spindle organization",11,0,0,"1.00000",1
"288","GO:0007052","mitotic spindle organization",6,0,0,"1.00000",1
"289","GO:0007059","chromosome segregation",20,0,0.01,"1.00000",1
"290","GO:0007076","mitotic chromosome condensation",6,0,0,"1.00000",1
"291","GO:0007088","regulation of mitotic nuclear division",5,0,0,"1.00000",1
"292","GO:0007091","metaphase/anaphase transition of mitotic...",8,0,0,"1.00000",1
"293","GO:0007093","mitotic cell cycle checkpoint signaling",7,0,0,"1.00000",1
"294","GO:0007094","mitotic spindle assembly checkpoint sign...",5,0,0,"1.00000",1
"295","GO:0007154","cell communication",319,0,0.1,"1.00000",1
"296","GO:0007165","signal transduction",279,0,0.08,"1.00000",1
"297","GO:0007186","G protein-coupled receptor signaling pat...",14,0,0,"1.00000",1
"298","GO:0007205","protein kinase C-activating G protein-co...",6,0,0,"1.00000",1
"299","GO:0007264","small GTPase mediated signal transductio...",47,0,0.01,"1.00000",1
"300","GO:0007265","Ras protein signal transduction",7,0,0,"1.00000",1
"301","GO:0007275","multicellular organism development",38,0,0.01,"1.00000",1
"302","GO:0007346","regulation of mitotic cell cycle",10,0,0,"1.00000",1
"303","GO:0008033","tRNA processing",41,0,0.01,"1.00000",1
"304","GO:0008037","cell recognition",32,0,0.01,"1.00000",1
"305","GO:0008064","regulation of actin polymerization or de...",8,0,0,"1.00000",1
"306","GO:0008104","protein localization",181,0,0.05,"1.00000",1
"307","GO:0008154","actin polymerization or depolymerization",18,0,0.01,"1.00000",1
"308","GO:0008202","steroid metabolic process",26,0,0.01,"1.00000",1
"309","GO:0008213","protein alkylation",25,0,0.01,"1.00000",1
"310","GO:0008215","spermine metabolic process",5,0,0,"1.00000",1
"311","GO:0008216","spermidine metabolic process",7,0,0,"1.00000",1
"312","GO:0008272","sulfate transport",11,0,0,"1.00000",1
"313","GO:0008283","cell population proliferation",5,0,0,"1.00000",1
"314","GO:0008295","spermidine biosynthetic process",7,0,0,"1.00000",1
"315","GO:0008299","isoprenoid biosynthetic process",27,0,0.01,"1.00000",1
"316","GO:0008380","RNA splicing",39,0,0.01,"1.00000",1
"317","GO:0008610","lipid biosynthetic process",155,0,0.05,"1.00000",1
"318","GO:0008643","carbohydrate transport",6,0,0,"1.00000",1
"319","GO:0008652","cellular amino acid biosynthetic process",53,0,0.02,"1.00000",1
"320","GO:0008654","phospholipid biosynthetic process",46,0,0.01,"1.00000",1
"321","GO:0009052","pentose-phosphate shunt, non-oxidative b...",4,0,0,"1.00000",1
"322","GO:0009056","catabolic process",220,0,0.07,"1.00000",1
"323","GO:0009057","macromolecule catabolic process",112,0,0.03,"1.00000",1
"324","GO:0009058","biosynthetic process",1755,0,0.53,"1.00000",1
"325","GO:0009059","macromolecule biosynthetic process",1305,0,0.39,"1.00000",1
"326","GO:0009060","aerobic respiration",17,0,0.01,"1.00000",1
"327","GO:0009062","fatty acid catabolic process",6,0,0,"1.00000",1
"328","GO:0009063","cellular amino acid catabolic process",10,0,0,"1.00000",1
"329","GO:0009064","glutamine family amino acid metabolic pr...",27,0,0.01,"1.00000",1
"330","GO:0009065","glutamine family amino acid catabolic pr...",4,0,0,"1.00000",1
"331","GO:0009066","aspartate family amino acid metabolic pr...",14,0,0,"1.00000",1
"332","GO:0009067","aspartate family amino acid biosynthetic...",12,0,0,"1.00000",1
"333","GO:0009069","serine family amino acid metabolic proce...",10,0,0,"1.00000",1
"334","GO:0009070","serine family amino acid biosynthetic pr...",8,0,0,"1.00000",1
"335","GO:0009072","aromatic amino acid family metabolic pro...",26,0,0.01,"1.00000",1
"336","GO:0009073","aromatic amino acid family biosynthetic ...",16,0,0,"1.00000",1
"337","GO:0009074","aromatic amino acid family catabolic pro...",3,0,0,"1.00000",1
"338","GO:0009081","branched-chain amino acid metabolic proc...",3,0,0,"1.00000",1
"339","GO:0009082","branched-chain amino acid biosynthetic p...",3,0,0,"1.00000",1
"340","GO:0009084","glutamine family amino acid biosynthetic...",13,0,0,"1.00000",1
"341","GO:0009085","lysine biosynthetic process",4,0,0,"1.00000",1
"342","GO:0009086","methionine biosynthetic process",4,0,0,"1.00000",1
"343","GO:0009089","lysine biosynthetic process via diaminop...",4,0,0,"1.00000",1
"344","GO:0009094","L-phenylalanine biosynthetic process",5,0,0,"1.00000",1
"345","GO:0009095","aromatic amino acid family biosynthetic ...",7,0,0,"1.00000",1
"346","GO:0009100","glycoprotein metabolic process",46,0,0.01,"1.00000",1
"347","GO:0009101","glycoprotein biosynthetic process",45,0,0.01,"1.00000",1
"348","GO:0009106","lipoate metabolic process",4,0,0,"1.00000",1
"349","GO:0009107","lipoate biosynthetic process",4,0,0,"1.00000",1
"350","GO:0009110","vitamin biosynthetic process",26,0,0.01,"1.00000",1
"351","GO:0009112","nucleobase metabolic process",3,0,0,"1.00000",1
"352","GO:0009116","nucleoside metabolic process",19,0,0.01,"1.00000",1
"353","GO:0009117","nucleotide metabolic process",113,0,0.03,"1.00000",1
"354","GO:0009123","nucleoside monophosphate metabolic proce...",11,0,0,"1.00000",1
"355","GO:0009124","nucleoside monophosphate biosynthetic pr...",11,0,0,"1.00000",1
"356","GO:0009126","purine nucleoside monophosphate metaboli...",8,0,0,"1.00000",1
"357","GO:0009127","purine nucleoside monophosphate biosynth...",8,0,0,"1.00000",1
"358","GO:0009129","pyrimidine nucleoside monophosphate meta...",3,0,0,"1.00000",1
"359","GO:0009130","pyrimidine nucleoside monophosphate bios...",3,0,0,"1.00000",1
"360","GO:0009132","nucleoside diphosphate metabolic process",48,0,0.01,"1.00000",1
"361","GO:0009135","purine nucleoside diphosphate metabolic ...",40,0,0.01,"1.00000",1
"362","GO:0009141","nucleoside triphosphate metabolic proces...",29,0,0.01,"1.00000",1
"363","GO:0009142","nucleoside triphosphate biosynthetic pro...",28,0,0.01,"1.00000",1
"364","GO:0009144","purine nucleoside triphosphate metabolic...",28,0,0.01,"1.00000",1
"365","GO:0009145","purine nucleoside triphosphate biosynthe...",28,0,0.01,"1.00000",1
"366","GO:0009147","pyrimidine nucleoside triphosphate metab...",7,0,0,"1.00000",1
"367","GO:0009148","pyrimidine nucleoside triphosphate biosy...",6,0,0,"1.00000",1
"368","GO:0009150","purine ribonucleotide metabolic process",88,0,0.03,"1.00000",1
"369","GO:0009152","purine ribonucleotide biosynthetic proce...",40,0,0.01,"1.00000",1
"370","GO:0009156","ribonucleoside monophosphate biosyntheti...",8,0,0,"1.00000",1
"371","GO:0009157","deoxyribonucleoside monophosphate biosyn...",3,0,0,"1.00000",1
"372","GO:0009161","ribonucleoside monophosphate metabolic p...",8,0,0,"1.00000",1
"373","GO:0009162","deoxyribonucleoside monophosphate metabo...",3,0,0,"1.00000",1
"374","GO:0009165","nucleotide biosynthetic process",62,0,0.02,"1.00000",1
"375","GO:0009167","purine ribonucleoside monophosphate meta...",8,0,0,"1.00000",1
"376","GO:0009168","purine ribonucleoside monophosphate bios...",8,0,0,"1.00000",1
"377","GO:0009176","pyrimidine deoxyribonucleoside monophosp...",3,0,0,"1.00000",1
